monster_id,action_type,action_name,damage_type,attack_bonus,damage_dice,dc_type,dc_value,multi_attack,multi_attack_descrip,descrip
aboleth,actions,Tentacle,Bludgeoning & Acid,9.0,2d6+5 + 1d12,CON,14.0,3.0,The aboleth makes three tentacle attacks.,"Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed."
aboleth,actions,Tail,Bludgeoning,9.0,3d6+5,,,,,"Melee Weapon Attack: +9 to hit, reach 10 ft. one target. Hit: 15 (3d6 + 5) bludgeoning damage."
aboleth,actions,Enslave,,,,WIS,14.0,,,"The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.
Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth."
acolyte,actions,Club,Bludgeoning,2.0,1d4,,,,,"Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage."
adult-black-dragon,actions,Bite,Piercing & Acid,11.0,2d10+6 + 1d8,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage."
adult-black-dragon,actions,Claw,Slashing,11.0,2d6+6,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage."
adult-black-dragon,actions,Tail,Bludgeoning,11.0,2d8+6,,,,,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage."
adult-black-dragon,actions,Frightful Presence,,,,WIS,16.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
adult-black-dragon,actions,Acid Breath,Acid,,12d8,DEX,18.0,,,"The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one."
adult-blue-dragon,actions,Bite,Piercing & Lightning,12.0,2d10+7 + 1d10,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage."
adult-blue-dragon,actions,Claw,Slashing,12.0,2d6+7,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage."
adult-blue-dragon,actions,Tail,Bludgeoning,12.0,2d8+7,,,,,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage."
adult-blue-dragon,actions,Frightful Presence,,,,WIS,17.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
adult-blue-dragon,actions,Lightning Breath,Lightning,,12d10,DEX,19.0,,,"The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one."
adult-brass-dragon,actions,Bite,Piercing,11.0,2d10+6,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage."
adult-brass-dragon,actions,Claw,Slashing,11.0,2d6+6,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage."
adult-brass-dragon,actions,Tail,Bludgeoning,11.0,2d8+6,,,,,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage."
adult-brass-dragon,actions,Frightful Presence,,,,WIS,16.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours ."
adult-bronze-dragon,actions,Bite,Piercing,12.0,2d10+7,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage."
adult-bronze-dragon,actions,Claw,Slashing,12.0,2d6+7,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage."
adult-bronze-dragon,actions,Tail,Bludgeoning,12.0,2d8+7,,,,,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage."
adult-bronze-dragon,actions,Frightful Presence,,,,WIS,17.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
adult-copper-dragon,actions,Bite,Piercing,11.0,2d10+6,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage."
adult-copper-dragon,actions,Claw,Slashing,11.0,2d6+6,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage."
adult-copper-dragon,actions,Tail,Bludgeoning,11.0,2d8+6,,,,,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage."
adult-copper-dragon,actions,Frightful Presence,,,,WIS,16.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
adult-gold-dragon,actions,Bite,Piercing,14.0,2d10+8,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage."
adult-gold-dragon,actions,Claw,Slashing,14.0,2d6+8,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage."
adult-gold-dragon,actions,Tail,Bludgeoning,14.0,2d8+8,,,,,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage."
adult-gold-dragon,actions,Frightful Presence,,,,WIS,21.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
adult-green-dragon,actions,Bite,Piercing & Poison,11.0,2d10+6 + 2d6,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage."
adult-green-dragon,actions,Claw,Slashing,11.0,2d6+6,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage."
adult-green-dragon,actions,Tail,Bludgeoning,11.0,2d8+6,,,,,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage."
adult-green-dragon,actions,Frightful Presence,,,,WIS,16.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours ."
adult-green-dragon,actions,Poison Breath,Poison,,16d6,CON,18.0,,,"The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one."
adult-red-dragon,actions,Bite,Piercing & Fire,14.0,2d10+8 + 2d6,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage."
adult-red-dragon,actions,Claw,Slashing,14.0,2d6+8,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage."
adult-red-dragon,actions,Tail,Bludgeoning,14.0,2d8+8,,,,,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage."
adult-red-dragon,actions,Frightful Presence,,,,WIS,19.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
adult-red-dragon,actions,Fire Breath,Fire,,18d6,DEX,21.0,,,"The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 63 (18d6) fire damage on a failed save, or half as much damage on a successful one."
adult-silver-dragon,actions,Bite,Piercing,13.0,2d10+8,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage."
adult-silver-dragon,actions,Claw,Slashing,13.0,2d6+8,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage."
adult-silver-dragon,actions,Tail,Bludgeoning,13.0,2d8+8,,,,,"Melee Weapon Attack: +13 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage."
adult-silver-dragon,actions,Frightful Presence,,,,WIS,18.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
adult-white-dragon,actions,Bite,Piercing & Cold,11.0,2d10+6 + 1d8,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage."
adult-white-dragon,actions,Claw,Slashing,11.0,2d6+6,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage."
adult-white-dragon,actions,Tail,Bludgeoning,11.0,2d8+6,,,,,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage."
adult-white-dragon,actions,Frightful Presence,,,,WIS,14.0,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 14 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."
adult-white-dragon,actions,Cold Breath,Cold,,12d8,CON,19.0,,,"The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 54 (12d8) cold damage on a failed save, or half as much damage on a successful one."
air-elemental,actions,Slam,Bludgeoning,8.0,2d8+5,,,2.0,The elemental makes two slam attacks.,"Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage."
air-elemental,actions,Whirlwind,,,,,,,,"Each creature in the elemental's space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone.
If the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone."
ancient-black-dragon,actions,Bite,Piercing & Acid,15.0,2d10+8 + 2d8,,,1.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack:+ 15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) acid damage."
ancient-black-dragon,actions,Claw,Slashing,15.0,2d6+8,,,2.0,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage."
ancient-black-dragon,actions,Tail,Bludgeoning,15.0,2d8+8,,,,,"Melee Weapon Attack: +15 to hit, reach 20 ft ., one target. Hit: 17 (2d8 + 8) bludgeoning damage."
